Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,HDOP,Altitude,UTM_easting,UTM_northing,Zone,Letter
1675438105.3389573,96,5832,0,GPS_Frame 1,42.338747,-71.08821666666667,1.78,21.0,327975.51743201795,4689499.866362248,19,T
1675438106.421962,97,5833,0,GPS_Frame 1,42.33874666666667,-71.08822,1.78,20.5,327975.2419160271,4689499.836091907,19,T
1675438107.5059793,98,5834,0,GPS_Frame 1,42.33874516666666,-71.08822183333334,1.78,20.3,327975.0867917057,4689499.673237393,19,T
1675438108.5902348,99,5835,0,GPS_Frame 1,42.33874366666667,-71.08822366666666,1.78,20.1,327974.93166737934,4689499.510382888,19,T
1675438109.6805072,100,5836,0,GPS_Frame 1,42.33874283333333,-71.08822566666666,1.78,20.1,327974.7646306855,4689499.42189384,19,T
1675438110.7619534,101,5837,0,GPS_Frame 1,42.33874283333333,-71.08822733333334,1.78,20.2,327974.6273271762,4689499.425265748,19,T
1675438111.8394432,102,5838,0,GPS_Frame 1,42.338742,-71.08823033333333,1.78,20.2,327974.37790837,4689499.3387998585,19,T
1675438112.924411,103,5839,0,GPS_Frame 1,42.33874083333333,-71.088233,1.78,20.2,327974.15504125855,4689499.214645458,19,T
1675438114.0077224,104,5840,0,GPS_Frame 1,42.33874016666667,-71.08823533333333,1.78,20.3,327973.96099834243,4689499.14533788,19,T
1675438115.0887184,105,5841,0,GPS_Frame 1,42.338738,-71.08823783333334,1.78,20.4,327973.74913456937,4689498.909803902,19,T
1675438116.1743193,106,5842,0,GPS_Frame 1,42.338735,-71.08823983333333,1.78,20.6,327973.57618933765,4689498.580723014,19,T
1675438117.2562459,107,5843,0,GPS_Frame 1,42.338732666666665,-71.08824166666666,1.78,20.9,327973.4187924454,4689498.325333205,19,T
1675438118.337323,108,5844,0,GPS_Frame 1,42.33873083333333,-71.08824283333334,1.78,21.1,327973.3176804588,4689498.124115827,19,T
1675438119.4266827,109,5845,0,GPS_Frame 1,42.338728499999995,-71.08824416666667,1.78,21.3,327973.201474613,4689497.867714441,19,T
1675438120.5058794,110,5846,0,GPS_Frame 1,42.338725833333335,-71.0882455,1.78,21.7,327973.0843597516,4689497.574298926,19,T
1675438121.5895522,111,5847,0,GPS_Frame 1,42.338724,-71.0882465,1.78,22.1,327972.9969781048,4689497.372744357,19,T
1675438122.6699815,112,5848,0,GPS_Frame 1,42.33872183333333,-71.08824733333333,1.78,22.4,327972.92241780215,4689497.13383846,19,T
1675438123.7548788,113,5849,0,GPS_Frame 1,42.338718333333325,-71.08824883333334,1.78,22.7,327972.7893000534,4689496.74822481,19,T
1675438124.8392785,114,5850,0,GPS_Frame 1,42.338715666666666,-71.08825,1.78,23.0,327972.68591551593,4689496.454472106,19,T
1675438125.9248784,115,5851,0,GPS_Frame 1,42.33871316666667,-71.088251,1.78,23.2,327972.5967158348,4689496.178889276,19,T
1675438127.005504,116,5852,0,GPS_Frame 1,42.338710999999996,-71.08825183333333,1.78,23.5,327972.52215551084,4689495.939983382,19,T
1675438128.0902872,117,5853,0,GPS_Frame 1,42.33870916666667,-71.08825283333334,1.78,23.8,327972.4347738266,4689495.738428821,19,T
1675438129.1695724,118,5854,0,GPS_Frame 1,42.33870766666667,-71.08825333333333,1.78,24.2,327972.38949222345,4689495.572876807,19,T
1675438130.266088,119,5855,0,GPS_Frame 1,42.33870633333333,-71.08825350000001,1.78,24.5,327972.37212583877,4689495.425157469,19,T
1675438131.3381054,120,5856,0,GPS_Frame 1,42.33870516666666,-71.08825333333333,1.78,24.7,327972.3826746744,4689495.295270805,19,T
1675438132.4258864,121,5857,0,GPS_Frame 1,42.33870366666667,-71.08825350000001,1.78,25.0,327972.364853786,4689495.129044403,19,T
1675438133.5049167,122,5858,0,GPS_Frame 1,42.33870166666667,-71.08825366666666,1.78,25.1,327972.34566938714,4689494.9072968,19,T
1675438134.5892887,123,5859,0,GPS_Frame 1,42.33870033333333,-71.08825383333333,1.78,25.3,327972.328303001,4689494.759577462,19,T
1675438135.6715617,124,5860,0,GPS_Frame 1,42.33869849999999,-71.08825416666667,1.78,25.5,327972.29584274197,4689494.556674119,19,T
1675438136.756068,125,5861,0,GPS_Frame 1,42.338697,-71.088254,1.78,25.5,327972.30548257206,4689494.389773326,19,T
1675438137.8354416,126,5862,0,GPS_Frame 1,42.33869549999999,-71.08825333333333,1.78,25.6,327972.3563134875,4689494.221860946,19,T
1675438138.9198751,127,5863,0,GPS_Frame 1,42.3386945,-71.0882525,1.78,25.7,327972.42223827593,4689494.109132572,19,T
1675438140.0076315,128,5864,0,GPS_Frame 1,42.338693,-71.08825183333333,1.78,25.8,327972.4730691967,4689493.941220192,19,T
1675438141.0895438,129,5865,0,GPS_Frame 1,42.33869283333333,-71.0882505,1.78,25.8,327972.5824575853,4689493.920015567,19,T
1675438142.1728399,130,5866,0,GPS_Frame 1,42.338694000000004,-71.08824849999999,1.78,25.9,327972.75040344126,4689494.045518699,19,T
1675438143.25561,131,5867,0,GPS_Frame 1,42.33869383333334,-71.088247,1.78,25.9,327972.8735221942,4689494.023976884,19,T
1675438144.3398435,132,5868,0,GPS_Frame 1,42.3386935,-71.088246,1.78,26.0,327972.95499535825,4689493.984939586,19,T
1675438145.424495,133,5869,0,GPS_Frame 1,42.33869416666666,-71.08824466666667,1.78,26.2,327973.06665625557,4689494.056270303,19,T
1675438146.506367,134,5870,0,GPS_Frame 1,42.33869416666666,-71.0882435,1.78,26.4,327973.16276878555,4689494.053909948,19,T
1675438147.589032,135,5871,0,GPS_Frame 1,42.33869500000001,-71.08824200000001,1.78,26.8,327973.2886145413,4689494.143410539,19,T
1675438148.6683228,136,5872,0,GPS_Frame 1,42.3386975,-71.08823933333333,1.78,27.2,327973.51511782466,4689494.415621449,19,T
1675438149.7569685,137,5873,0,GPS_Frame 1,42.33870116666667,-71.08823633333333,1.78,27.6,327973.7722633051,4689494.816707446,19,T
1675438150.8394008,138,5874,0,GPS_Frame 1,42.338704166666666,-71.088233,1.78,27.9,327974.0550514818,4689495.1430908,19,T
1675438151.9202113,139,5875,0,GPS_Frame 1,42.3387085,-71.0882285,1.78,28.1,327974.43758812593,4689495.6151703615,19,T
1675438153.0054011,140,5876,0,GPS_Frame 1,42.33871033333333,-71.08822633333332,1.78,28.2,327974.6210822556,4689495.814364612,19,T
1675438154.0913084,141,5877,0,GPS_Frame 1,42.33871166666666,-71.08822416666666,1.78,28.2,327974.80321288196,4689495.958037666,19,T
1675438155.172885,142,5878,0,GPS_Frame 1,42.338712666666666,-71.0882225,1.78,28.3,327974.9432434387,4689496.065708163,19,T
1675438156.2540972,143,5879,0,GPS_Frame 1,42.338713999999996,-71.08822116666667,1.78,28.5,327975.0567222681,4689496.211067175,19,T
1675438157.339913,144,5880,0,GPS_Frame 1,42.338715500000006,-71.08822,1.78,28.8,327975.1569252325,4689496.375270446,19,T
1675438158.42613,145,5881,0,GPS_Frame 1,42.338718,-71.08821866666668,1.78,29.3,327975.27358552336,4689496.650178928,19,T
1675438159.5069242,146,5882,0,GPS_Frame 1,42.338719833333336,-71.0882175,1.78,29.8,327975.37469746824,4689496.851396333,19,T
1675438160.5874913,147,5883,0,GPS_Frame 1,42.338721166666666,-71.08821716666667,1.78,30.4,327975.4057941433,4689496.998778486,19,T
1675438161.682265,148,5884,0,GPS_Frame 1,42.33872266666667,-71.0882165,1.78,30.8,327975.4648060248,4689497.16399333,19,T
1675438162.7558622,149,5885,0,GPS_Frame 1,42.33872316666666,-71.08821616666667,1.78,31.4,327975.49363022053,4689497.218840151,19,T
1675438163.8398347,150,5886,0,GPS_Frame 1,42.33872366666666,-71.0882165,1.78,31.9,327975.4675329972,4689497.275035728,19,T
1675438164.9226396,151,5887,0,GPS_Frame 1,42.3387235,-71.08821683333333,1.78,32.3,327975.4396177903,4689497.257203042,19,T
1675438166.005261,152,5888,0,GPS_Frame 1,42.33872316666666,-71.08821683333333,1.78,32.6,327975.4387087993,4689497.220188907,19,T
1675438167.0943568,153,5889,0,GPS_Frame 1,42.338722999999995,-71.088217,1.78,32.9,327975.42452394904,4689497.202019029,19,T
1675438168.178771,154,5890,0,GPS_Frame 1,42.33872266666667,-71.088217,1.78,33.0,327975.42361495807,4689497.165004897,19,T
1675438169.2579758,155,5891,0,GPS_Frame 1,42.338721666666665,-71.08821716666667,1.78,33.1,327975.40715762996,4689497.054299688,19,T
1675438170.3394911,156,5892,0,GPS_Frame 1,42.338721,-71.08821716666667,1.78,33.4,327975.4053396478,4689496.9802714195,19,T
1675438171.4302387,157,5893,0,GPS_Frame 1,42.3387205,-71.088217,1.78,33.5,327975.4177065167,4689496.924413033,19,T
1675438172.5061967,158,5894,0,GPS_Frame 1,42.33871883333333,-71.08821766666667,1.78,33.7,327975.358240139,4689496.740691122,19,T
1675438173.5944548,159,5895,0,GPS_Frame 1,42.33871766666666,-71.08821800000001,1.78,33.8,327975.3275979578,4689496.611816035,19,T
1675438174.6721518,160,5896,0,GPS_Frame 1,42.3387165,-71.08821866666668,1.78,33.8,327975.269495061,4689496.483615327,19,T
1675438175.754062,161,5897,0,GPS_Frame 1,42.33871416666666,-71.08821933333334,1.78,33.7,327975.20821069076,4689496.225865152,19,T
1675438176.8383124,162,5898,0,GPS_Frame 1,42.33871283333333,-71.08822,1.78,33.6,327975.1496532952,4689496.079157379,19,T
1675438177.927683,163,5899,0,GPS_Frame 1,42.338710999999996,-71.088221,1.78,33.5,327975.0622716918,4689495.877602785,19,T
1675438179.005281,164,5900,0,GPS_Frame 1,42.33870983333333,-71.08822149999999,1.78,33.5,327975.01789914485,4689495.74906489,19,T
1675438180.0820944,165,5901,0,GPS_Frame 1,42.33870933333333,-71.088222,1.78,33.4,327974.97534458025,4689495.694555261,19,T
1675438181.1715229,166,5902,0,GPS_Frame 1,42.33870883333334,-71.08822233333333,1.78,33.4,327974.9465203751,4689495.639708442,19,T
1675438182.2634146,167,5903,0,GPS_Frame 1,42.338708,-71.08822233333333,1.78,33.3,327974.94424789236,4689495.547173109,19,T
1675438183.3411236,168,5904,0,GPS_Frame 1,42.33871066666667,-71.088222,1.78,34.2,327974.97898055206,4689495.842611793,19,T
1675438184.4349666,169,5905,0,GPS_Frame 1,42.33871016666667,-71.08822,1.78,34.0,327975.1423813583,4689495.783044315,19,T
1675438185.5042002,170,5906,0,GPS_Frame 1,42.33870983333333,-71.08821933333334,1.78,34.1,327975.19639379694,4689495.744681421,19,T
1675438186.5934963,171,5907,0,GPS_Frame 1,42.33870950000001,-71.08821966666666,1.78,34.2,327975.16802408965,4689495.708341669,19,T
1675438187.675482,172,5908,0,GPS_Frame 1,42.338710000000006,-71.08821933333334,1.78,34.4,327975.19684829284,4689495.763188491,19,T
1675438188.7559369,173,5909,0,GPS_Frame 1,42.33871066666667,-71.08821916666668,1.78,34.4,327975.2123966339,4689495.836879566,19,T
1675438189.8403203,174,5910,0,GPS_Frame 1,42.33871066666667,-71.08821966666666,1.78,34.7,327975.1712055615,4689495.837891134,19,T
1675438190.930918,175,5911,0,GPS_Frame 1,42.33871033333333,-71.08821966666666,1.78,34.8,327975.1702965695,4689495.800877002,19,T
1675438192.0051482,176,5912,0,GPS_Frame 1,42.338710000000006,-71.08821983333334,1.78,35.0,327975.15565721993,4689495.764200059,19,T
1675438193.1027668,177,5913,0,GPS_Frame 1,42.338709,-71.08821983333334,1.78,35.0,327975.1529302439,4689495.653157659,19,T
1675438194.1757402,178,5914,0,GPS_Frame 1,42.33870783333334,-71.08821966666666,1.78,35.0,327975.1634791301,4689495.523271004,19,T
1675438195.25797,179,5915,0,GPS_Frame 1,42.33870616666666,-71.08822,1.78,35.1,327975.1314734536,4689495.338874716,19,T
1675438196.3426776,180,5916,0,GPS_Frame 1,42.33870783333334,-71.08822083333332,1.78,34.6,327975.0673666232,4689495.525631332,19,T
1675438197.4239395,181,5917,0,GPS_Frame 1,42.33870749999999,-71.08822133333334,1.78,34.6,327975.025266554,4689495.489628768,19,T
1675438198.50903,182,5918,0,GPS_Frame 1,42.33870616666666,-71.08822116666667,1.78,34.6,327975.03536094207,4689495.341235045,19,T
1675438199.5924768,183,5919,0,GPS_Frame 1,42.338706,-71.088221,1.78,34.7,327975.04863680433,4689495.322390789,19,T
1675438200.6813867,184,5920,0,GPS_Frame 1,42.338705499999996,-71.088221,1.78,35.1,327975.04727331566,4689495.26686959,19,T
1675438201.7684376,185,5921,0,GPS_Frame 1,42.33870716666667,-71.08822116666667,1.78,36.0,327975.0380879197,4689495.452277445,19,T
1675438202.841394,186,5922,0,GPS_Frame 1,42.33870833333334,-71.088221,1.78,36.8,327975.0549997516,4689495.581489721,19,T
1675438203.9220884,187,5923,0,GPS_Frame 1,42.33870916666667,-71.08822116666667,1.78,37.4,327975.0435418751,4689495.674362244,19,T
1675438205.0092413,188,5924,0,GPS_Frame 1,42.33870916666667,-71.08822183333334,1.78,37.7,327974.98862044164,4689495.675711005,19,T
1675438206.095158,189,5925,0,GPS_Frame 1,42.33870916666667,-71.08822183333334,1.78,38.1,327974.98862044164,4689495.675711005,19,T
1675438207.1732492,190,5926,0,GPS_Frame 1,42.3387085,-71.08822266666667,1.78,38.7,327974.918150666,4689495.603368688,19,T
1675438208.2594914,191,5927,0,GPS_Frame 1,42.33870866666666,-71.08822333333333,1.78,39.1,327974.86368373083,4689495.6232245155,19,T
1675438209.353792,192,5928,0,GPS_Frame 1,42.338708166666656,-71.08822400000001,1.78,39.5,327974.8073988041,4689495.569052077,19,T
1675438210.4256325,193,5929,0,GPS_Frame 1,42.33870749999999,-71.08822483333333,1.78,39.7,327974.7369290255,4689495.496709762,19,T
1675438211.5183814,194,5930,0,GPS_Frame 1,42.338708,-71.088226,1.78,40.1,327974.64218000794,4689495.554591298,19,T
1675438212.5918198,195,5931,0,GPS_Frame 1,42.33870866666666,-71.08822683333332,1.78,40.0,327974.57534620544,4689495.6303055165,19,T
1675438213.6758726,196,5932,0,GPS_Frame 1,42.3387085,-71.08822766666667,1.78,40.0,327974.50623991794,4689495.613484407,19,T
1675438214.7585535,197,5933,0,GPS_Frame 1,42.33871016666667,-71.08822766666667,1.78,39.7,327974.51078489504,4689495.798555073,19,T
1675438215.8408558,198,5934,0,GPS_Frame 1,42.33871033333333,-71.08822816666667,1.78,39.6,327974.4700483179,4689495.818073712,19,T
1675438216.9263508,199,5935,0,GPS_Frame 1,42.33870950000001,-71.08822883333333,1.78,39.6,327974.4128543956,4689495.726887143,19,T
