Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,HDOP,Altitude,UTM_easting,UTM_northing,Zone,Letter
1675513317.2202933,59,742,0,GPS_Frame 1,42.375423166666664,-71.0310245,1.05,9.1,332784.4276881158,4693458.352168422,19,T
1675513318.3000054,60,743,0,GPS_Frame 1,42.37542683333333,-71.03101416666667,1.05,8.9,332785.2882030013,4693458.738989808,19,T
1675513319.379502,61,744,0,GPS_Frame 1,42.37543416666667,-71.03099766666666,1.05,8.8,332786.66617477103,4693459.520832386,19,T
1675513320.4632595,62,745,0,GPS_Frame 1,42.375453,-71.030989,1.05,9.1,332787.4297193517,4693461.595080662,19,T
1675513321.5470424,63,746,0,GPS_Frame 1,42.375463,-71.03097783333332,1.05,8.9,332788.3756540627,4693462.683532625,19,T
1675513322.6399088,64,747,0,GPS_Frame 1,42.3754705,-71.03096099999999,1.05,8.8,332789.78151164955,4693463.483226944,19,T
1675513323.7160118,65,748,0,GPS_Frame 1,42.3754975,-71.03096116666667,1.05,9.0,332789.83944768255,4693466.481706442,19,T
1675513324.8050861,66,749,0,GPS_Frame 1,42.37552083333333,-71.03095383333333,1.05,9.1,332790.50515540363,4693469.058270748,19,T
1675513325.8872745,67,750,0,GPS_Frame 1,42.375534,-71.030945,1.05,9.4,332791.2673809853,4693470.5029497575,19,T
1675513326.9715595,68,751,0,GPS_Frame 1,42.375543333333326,-71.03093716666667,1.05,9.4,332791.93709896744,4693471.523933173,19,T
1675513328.0578427,69,752,0,GPS_Frame 1,42.375549166666666,-71.03092450000001,1.05,9.2,332792.99547406496,4693472.146756279,19,T
1675513329.1378338,70,753,0,GPS_Frame 1,42.375551333333334,-71.03091566666667,1.05,9.0,332793.7285053112,4693472.36996639,19,T
1675513330.2147384,71,754,0,GPS_Frame 1,42.37556066666666,-71.0309075,1.05,8.8,332794.4256673255,4693473.390294098,19,T
1675513331.305867,72,755,0,GPS_Frame 1,42.375562499999994,-71.03088433333333,1.05,7.6,332796.33792984975,4693473.548285302,19,T
1675513332.3825684,73,756,0,GPS_Frame 1,42.375572,-71.03087516666666,1.05,6.8,332797.1178673534,4693474.585152603,19,T
1675513333.4654336,74,757,0,GPS_Frame 1,42.375588666666665,-71.03086750000001,1.05,6.4,332797.7933237284,4693476.420777279,19,T
1675513334.558266,75,758,0,GPS_Frame 1,42.3756065,-71.03085133333335,1.05,7.3,332799.17171178735,4693478.369225943,19,T
1675513335.63038,76,759,0,GPS_Frame 1,42.37561533333333,-71.03083666666666,1.05,6.4,332800.40271399636,4693479.321242594,19,T
1675513336.7121222,77,760,0,GPS_Frame 1,42.37562333333334,-71.03082066666666,1.05,6.0,332801.74128247553,4693480.178100297,19,T
1675513337.7973616,78,761,0,GPS_Frame 1,42.375636,-71.03080983333332,1.05,6.3,332802.66684490535,4693481.563323725,19,T
1675513338.8818061,79,762,0,GPS_Frame 1,42.37564183333334,-71.03079699999999,1.05,6.3,332803.73893977643,4693482.185820444,19,T
1675513339.965011,80,763,0,GPS_Frame 1,42.37565283333333,-71.030782,1.05,6.0,332805.00313508447,4693483.377774385,19,T
