Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter,fixed_quality
1676931349.2056048,0,80149,0,GNSS,42.33734783333333,71.08668866666666,21.6,0.85,671902.4153706612,4689341.409349247,221549.0,42,T,5
1676931350.1805212,0,80150,0,GNSS,42.33734283333333,71.08670016666666,21.5,0.82,671903.3764103395,4689340.87738639,221550.0,42,T,5
1676931351.1554053,0,80151,0,GNSS,42.337337166666664,71.08671183333334,21.6,0.79,671904.3529974446,4689340.271732361,221551.0,42,T,5
1676931352.1481454,0,80152,0,GNSS,42.33733266666667,71.08672316666667,21.6,0.82,671905.2989443031,4689339.794953999,221552.0,42,T,5
1676931353.1639404,0,80153,0,GNSS,42.337327333333334,71.08673433333334,21.8,0.82,671906.2334314382,4689339.225303508,221553.0,42,T,5
1676931354.1716096,0,80154,0,GNSS,42.3373225,71.08674433333333,21.7,0.75,671907.0704416248,4689338.7088156715,221554.0,42,T,5
1676931355.154807,0,80155,0,GNSS,42.33731733333333,71.08675416666667,21.6,0.78,671907.8946296064,4689338.154976859,221555.0,42,T,5
1676931356.1722116,0,80156,0,GNSS,42.337311666666665,71.08676416666667,21.6,0.76,671908.7339108805,4689337.545953909,221556.0,42,T,5
1676931357.170418,0,80157,0,GNSS,42.337305666666666,71.08677583333333,21.5,0.78,671909.7114072676,4689336.903286479,221557.0,42,T,5
1676931358.1860502,0,80158,0,GNSS,42.33729983333333,71.08678633333334,21.6,0.79,671910.5923350168,4689336.276767549,221558.0,42,T,5
1676931359.2312322,0,80159,0,GNSS,42.337294166666666,71.086796,21.5,0.79,671911.4041554267,4689335.667070995,221559.0,42,T,5
1676931360.1846983,0,80160,0,GNSS,42.3372875,71.08680816666667,21.7,0.82,671912.4246610292,4689334.951386563,221600.0,42,T,5
1676931361.2005036,0,80161,0,GNSS,42.33728116666666,71.08681916666667,21.7,0.8,671913.3481438084,4689334.27035766,221601.0,42,T,5
1676931362.2061996,0,80162,0,GNSS,42.33727416666667,71.0868305,21.7,0.69,671914.3009048295,4689333.515974558,221602.0,42,T,5
1676931363.198333,0,80163,0,GNSS,42.337268,71.08684083333333,21.7,0.66,671915.1690111163,4689332.852105096,221603.0,42,T,5
1676931364.1680315,0,80164,0,GNSS,42.3372615,71.0868505,21.6,0.69,671915.9831032479,4689332.149873747,221604.0,42,T,5
1676931365.1631463,0,80165,0,GNSS,42.3372545,71.08686083333333,21.6,0.65,671916.8534807998,4689331.393469178,221605.0,42,T,5
1676931366.1749444,0,80166,0,GNSS,42.33724866666667,71.086871,21.6,0.61,671917.7069485362,4689330.76627717,221606.0,42,T,5
1676931367.1875262,0,80167,0,GNSS,42.33724266666667,71.08688183333334,21.6,0.62,671918.615793327,4689330.121926088,221607.0,42,T,5
1676931368.1460083,0,80168,0,GNSS,42.337237333333334,71.086891,21.6,0.61,671919.3855147302,4689329.548233628,221608.0,42,T,5
1676931369.138727,0,80169,0,GNSS,42.33723283333333,71.08689866666667,21.5,0.63,671920.029389177,4689329.064043784,221609.0,42,T,5
1676931370.2075076,0,80170,0,GNSS,42.3372305,71.08690516666667,21.5,0.6,671920.5712443998,4689328.8180869585,221610.0,42,T,5
1676931371.151587,0,80171,0,GNSS,42.3372295,71.08690766666666,21.4,0.6,671920.7799297704,4689328.71209923,221611.0,42,T,5
1676931372.1779957,0,80172,0,GNSS,42.33722916666667,71.08690883333334,21.3,0.64,671920.8769529212,4689328.67744394,221612.0,42,T,5
